time,workload,reward,category,action,,,,,,
522072531, client_big_img.txt,,,,,,,,,
522073701,[[1.24812513e+06 0.00000000e+00 1.36997408e+00]],0.7633333333333333,2,1,,,,,,
522075814,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9153333333333333,2,2,,,,,,
522077904,[[1.669582e+06 0.000000e+00 1.000000e-10]],0.6366666666666667,2,0,,,,,,
522079948,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.6871428571428572,2,1,,,,,,
522082062,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.92,2,1,,,,,,
522084093,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9981818181818182,2,1,,,,,,
522086872,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.991875,2,1,,,,,,
522088901,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9821428571428571,2,1,,,,,,
522090945,[[1.671167e+06 0.000000e+00 1.000000e-10]],0.9853333333333333,2,0,,,,,,
522092640, client_med_img_2.txt,,,,,,,,,
522093079,[[1.32105367e+06 0.00000000e+00 9.79868757e-01]],0.525,2,1,,,,,,
522095249,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9226666666666666,2,2,,,,,,
522097354,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.8035714285714286,2,1,,,,,,
522099454,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9213333333333333,2,1,,,,,,
522101481,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.99375,2,2,,,,,,
522103543,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.7607692307692308,2,1,,,,,,
522105710,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9273333333333333,2,1,,,,,,
522107740,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9923529411764705,2,1,,,,,,
522109765,[[8.30895e+05 0.00000e+00 1.00000e-10]],0.9925,2,2,,,,,,
522111938,[[8.24536e+05 0.00000e+00 1.00000e-10]],0.81,2,1,,,,,,
522112687, client_small_txt_1.txt,,,,,,,,,
522114081,[[8.30895000e+05 9.18000000e+02 3.22756959e-01]],0.9488235294117647,2,1,,,,,,
522116113,[[0.00e+00 9.18e+02 1.00e-10]],0.9994736842105263,1,3,,,,,,
522118210,[[0.00e+00 5.84e+02 1.00e-10]],0.9694444444444444,1,2,,,,,,
